,time,open,high,low,close,tick_volume,spread,real_volume,diff
95,1710489600,1.08767,1.08869,1.08733,1.08829,6274,0,0,0.0006200000000000649
96,1710504000,1.08828,1.08998,1.08825,1.08872,8984,0,0,0.00043999999999999595
97,1710518400,1.08872,1.08948,1.08814,1.08858,12967,0,0,-0.00013999999999980695
98,1710532800,1.08859,1.08915,1.08834,1.08885,5583,0,0,0.000260000000000149
99,1710720000,1.08882,1.08912,1.08755,1.08853,3358,0,0,-0.00028999999999990145
100,1710734400,1.08853,1.08918,1.08829,1.08875,3162,0,0,0.000220000000000109
101,1710748800,1.08875,1.08977,1.08854,1.08939,5588,0,0,0.0006399999999999739
102,1710763200,1.08938,1.09061,1.08898,1.08922,6532,0,0,-0.00015999999999993797
103,1710777600,1.08923,1.08935,1.08694,1.08724,10432,0,0,-0.0019899999999999363
104,1710792000,1.08724,1.08751,1.08661,1.08721,4506,0,0,-2.999999999997449e-05
105,1710806400,1.08719,1.08747,1.08692,1.08695,2324,0,0,-0.00024000000000001798
106,1710820800,1.08696,1.08765,1.08668,1.08707,6080,0,0,0.0001100000000000545
107,1710835200,1.08706,1.08721,1.08424,1.08475,8188,0,0,-0.002309999999999812
108,1710849600,1.08475,1.0856,1.08347,1.08516,10029,0,0,0.0004099999999997994
109,1710864000,1.08516,1.08655,1.08493,1.08633,10058,0,0,0.0011700000000001154
110,1710878400,1.08634,1.08677,1.08597,1.08657,5014,0,0,0.00022999999999995246
111,1710892800,1.0864,1.08666,1.08575,1.08644,5228,0,0,4.0000000000040004e-05
112,1710907200,1.08645,1.08713,1.08622,1.08666,2848,0,0,0.00021000000000004349
113,1710921600,1.08666,1.08723,1.08501,1.08521,5741,0,0,-0.0014499999999999513
114,1710936000,1.0852,1.08524,1.08365,1.08422,7551,0,0,-0.0009799999999999809
115,1710950400,1.08423,1.08611,1.08373,1.08606,7503,0,0,0.0018299999999999983
116,1710964800,1.08606,1.09228,1.08587,1.09222,30759,0,0,0.006159999999999943
117,1710979200,1.09196,1.09374,1.09176,1.09335,6881,0,0,0.0013900000000000023
118,1710993600,1.09334,1.0939,1.09327,1.09333,4201,0,0,-1.0000000000065512e-05
119,1711008000,1.09333,1.09426,1.08873,1.08916,10920,0,0,-0.004170000000000007
120,1711022400,1.08917,1.09236,1.0889,1.09115,13341,0,0,0.001980000000000093
121,1711036800,1.09115,1.09117,1.08557,1.08608,17962,0,0,-0.00507000000000013
122,1711051200,1.08608,1.08663,1.08554,1.08595,5721,0,0,-0.00012999999999996348
123,1711065600,1.08575,1.08682,1.08572,1.08652,4092,0,0,0.0007699999999999374
